Programa,Tamaño,Hilos,Promedio_microsegundos
mmClasicaFork,600,1,243943.366666667
mmClasicaFork,600,2,107737.766666667
mmClasicaFork,600,4,73088.2
mmClasicaFork,600,12,62087.2
mmClasicaFork,600,32,67747.4
mmClasicaFork,800,1,1189801.03333333
mmClasicaFork,800,2,547155.366666667
mmClasicaFork,800,4,253580.266666667
mmClasicaFork,800,12,169327.6
mmClasicaFork,800,32,144750.5
mmClasicaFork,1200,1,4808195.03333333
mmClasicaFork,1200,2,2072818.9
mmClasicaFork,1200,4,855645.633333333
mmClasicaFork,1200,12,902811.133333333
mmClasicaFork,1200,32,869811.833333333
mmClasicaFork,2400,1,93223602.7
mmClasicaFork,2400,2,40330400.3
mmClasicaFork,2400,4,20601170.1
mmClasicaFork,2400,12,24296599.8666667
mmClasicaFork,2400,32,25326257.6333333
mmClasicaPosix,600,1,169561
mmClasicaPosix,600,2,80775.7666666667
mmClasicaPosix,600,4,43667.7666666667
mmClasicaPosix,600,12,35250.3
mmClasicaPosix,600,32,35023.2
mmClasicaPosix,800,1,574591.9
mmClasicaPosix,800,2,270537.466666667
mmClasicaPosix,800,4,139130.933333333
mmClasicaPosix,800,12,108719.733333333
mmClasicaPosix,800,32,99348.6333333333
mmClasicaPosix,1200,1,3167894.3
mmClasicaPosix,1200,2,1660347.23333333
mmClasicaPosix,1200,4,675214.333333333
mmClasicaPosix,1200,12,804398.366666667
mmClasicaPosix,1200,32,789133.9
mmClasicaPosix,2400,1,96421317.4333333
mmClasicaPosix,2400,2,41574696.1666667
mmClasicaPosix,2400,4,21196398.1666667
mmClasicaPosix,2400,12,23846511.9666667
mmClasicaPosix,2400,32,25109597.5666667
mmClasicaOpenMP,600,1,167576.233333333
mmClasicaOpenMP,600,2,80593.3
mmClasicaOpenMP,600,4,44203.9333333333
mmClasicaOpenMP,600,12,50265.3666666667
mmClasicaOpenMP,600,32,34085.7666666667
mmClasicaOpenMP,800,1,593812.733333333
mmClasicaOpenMP,800,2,300217.466666667
mmClasicaOpenMP,800,4,145907.733333333
mmClasicaOpenMP,800,12,117268.1
mmClasicaOpenMP,800,32,101110.166666667
mmClasicaOpenMP,1200,1,3098865.13333333
mmClasicaOpenMP,1200,2,1630635.46666667
mmClasicaOpenMP,1200,4,760870.666666667
mmClasicaOpenMP,1200,12,802465.5
mmClasicaOpenMP,1200,32,790993.7
mmClasicaOpenMP,2400,1,97033375.7333333
mmClasicaOpenMP,2400,2,42057973.2
mmClasicaOpenMP,2400,4,21637024.1666667
mmClasicaOpenMP,2400,12,24510310.5666667
mmClasicaOpenMP,2400,32,25396014.1333333
mmFilasOpenMP,600,1,140211.033333333
mmFilasOpenMP,600,2,65468.0333333333
mmFilasOpenMP,600,4,35778.2
mmFilasOpenMP,600,12,31774.9
mmFilasOpenMP,600,32,21934.1666666667
mmFilasOpenMP,800,1,338081.2
mmFilasOpenMP,800,2,163773.133333333
mmFilasOpenMP,800,4,85869.5666666667
mmFilasOpenMP,800,12,61409.9333333333
mmFilasOpenMP,800,32,43938.4666666667
mmFilasOpenMP,1200,1,1457460.63333333
mmFilasOpenMP,1200,2,685150.3
mmFilasOpenMP,1200,4,344354.566666667
mmFilasOpenMP,1200,12,192190.1
mmFilasOpenMP,1200,32,160266.766666667
mmFilasOpenMP,2400,1,12100591.0666667
mmFilasOpenMP,2400,2,5736051.7
mmFilasOpenMP,2400,4,2850232.2
mmFilasOpenMP,2400,12,1707993.06666667
mmFilasOpenMP,2400,32,1877105.76666667
